image,meanB,meanG,meanR,modeB,modeG,modeR
1.0-10_batch2.jpg,0.291792,62.044656, 89.343456, 0, 64,92
0.25-6_batch2.jpg,21.629008,79.348512, 85.816176, 22, 81,87
1.75-2_batch1.jpg,0.325392,54.098384, 89.702432, 0, 54,91
1.5-9_batch1.jpg,0.301744,53.99264, 86.741776, 0, 55,88
1.0-7_batch3.jpg,0.300512,64.244576, 95.155088, 0, 65,97
1.0-7_batch2.jpg,0.274304,62.227312, 89.525472, 0, 63,91
0.25-6_batch3.jpg,25.07016,85.401552, 90.80888, 27, 88,93
0.75-8_batch1.jpg,0.430384,64.903376, 87.753728, 0, 67,91
1.0-10_batch3.jpg,0.242272,63.904976, 94.835744, 0, 65,97
2.0-8_batch1.jpg,14.364448,82.735264, 84.574976, 0, 47,77
0.75-5_batch2.jpg,0.329152,67.099504, 91.813088, 0, 68,95
1.25-1_batch1.jpg,0.293744,58.266336, 87.623792, 0, 61,92
2.0-5_batch2.jpg,0.276816,48.85128, 88.15776, 0, 49,89
0.5-1_batch2.jpg,1.815808,73.079856, 92.094992, 2, 75,94
1.5-4_batch3.jpg,0.373856,55.072672, 90.135792, 0, 57,93
1.5-4_batch1.jpg,0.308304,54.290176, 87.031744, 0, 55,88
1.25-1_batch3.jpg,0.328512,56.775456, 86.009264, 0, 57,87
2.0-8_batch3.jpg,0.269312,49.440928, 86.48288, 0, 50,87
1.0-10_batch1.jpg,0.337776,60.996496, 87.135952, 0, 62,87
1.75-2_batch2.jpg,0.22152,50.984528, 87.263664, 0, 52,89
0.75-8_batch3.jpg,0.331472,65.243648, 89.37768, 0, 67,89
0.25-6_batch1.jpg,24.777968,85.588656, 90.78528, 26, 88,93
1.5-9_batch2.jpg,0.261328,51.720464, 83.81056, 0, 53,84
1.0-7_batch1.jpg,0.365568,61.20288, 87.284672, 0, 62,87
1.5-9_batch3.jpg,0.370368,55.80016, 90.867312, 0, 57,91
0.75-8_batch2.jpg,0.32064,67.174144, 91.92912, 0, 68,91
1.75-2_batch3.jpg,0.234064,52.52968, 89.406144, 0, 53,91
2.0-8_batch2.jpg,0.279568,48.702128, 87.621584, 0, 49,89
1.25-1_batch2.jpg,0.284704,59.836896, 90.779632, 0, 61,92
0.75-5_batch1.jpg,0.426608,63.365392, 85.79096, 0, 64,86
2.0-5_batch1.jpg,13.426016,80.062288, 83.966624, 0, 47,77
0.5-1_batch1.jpg,0.96088,72.156304, 90.739984, 0, 75,94
0.25-3_batch1.jpg,26.499872,86.547056, 92.342352, 27, 89,94
1.75-7_batch2.jpg,0.256704,51.654912, 87.433648, 0, 53,89
0.5-9_batch3.jpg,0.611328,72.14552, 91.30584, 0, 74,92
1.5-1_batch1.jpg,0.346992,54.976832, 87.894288, 0, 55,91
1.25-4_batch3.jpg,0.342096,56.788176, 86.216736, 0, 57,86
1.25-4_batch2.jpg,0.294032,60.117472, 90.845632, 0, 61,92
0.5-4_batch1.jpg,1.544272,73.678272, 92.472672, 1, 76,95
1.0-2_batch1.jpg,0.331776,59.875344, 85.816304, 0, 62,87
0.5-9_batch2.jpg,2.203168,74.339152, 93.037712, 2, 76,92
1.25-9_batch1.jpg,0.301712,58.117008, 87.812048, 0, 59,92
1.75-7_batch3.jpg,0.26024,52.682704, 89.796928, 0, 52,93
1.75-7_batch1.jpg,0.296688,53.263696, 89.105072, 0, 53,91
0.25-3_batch2.jpg,19.009152,92.127632, 82.87664, 14, 73,79
1.25-9_batch3.jpg,0.357824,56.380192, 85.884752, 0, 57,86
1.0-2_batch3.jpg,0.263568,64.094496, 95.019808, 0, 65,97
0.5-4_batch3.jpg,1.178672,71.748368, 91.090352, 0, 75,93
1.5-1_batch2.jpg,0.2836,51.955856, 85.401472, 0, 52,86
1.25-4_batch1.jpg,0.35848,58.777056, 88.543104, 0, 61,92
1.5-1_batch3.jpg,0.367488,54.094672, 88.753136, 0, 54,91
0.5-4_batch2.jpg,0.61784,72.255696, 91.988224, 0, 74,92
1.0-2_batch2.jpg,0.288704,62.3296, 89.819104, 0, 64,92
0.5-9_batch1.jpg,1.822688,73.403696, 92.357712, 2, 76,95
1.25-9_batch2.jpg,0.363248,59.932848, 90.813936, 0, 61,92
0.25-3_batch3.jpg,24.924304,85.674416, 91.045104, 26, 88,93
1.0-1_batch1.jpg,12.878912,84.087776, 83.4256, 0, 57,79
1.75-4_batch3.jpg,0.253712,52.56304, 89.923376, 0, 52,89
